PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Schurter, KC; Roschke, PN				Schurter, KC; Roschke, PN			Neuro-fuzzy control of structures using acceleration feedback	SMART MATERIALS & STRUCTURES			English	Article							SYSTEM	This paper described a new approach for the reduction of environmentally induced vibration in constructed facilities, by way of a neuro-fuzzy technique. The new control technique is presented and tested in a numerical study that involves two types of building models. The energy of each building is dissipated through magnetorheological (MR); dampers whose damping properties are continuously updated by a fuzzy controller. This semi-active control scheme relies on the development of a correlation between the accelerations of the building (controller input) and the voltage applied to the MR damper (controller output). This correlation forms the basis for the development of an intelligent neuro-fuzzy control strategy. To establish a context for assessing the effectiveness of the semi-active control scheme, responses to earthquake excitation are compared with passive., to numerical strategies that have similar authority for control. According simulation, MR dampers are less effective control mechanisms than passive dampers with respect to a single degree of freedom (DOF) building model. On the other hand, MR dampers are predicted to be superior when used with multiple DOF structures for reduction of lateral acceleration.	Lockheed Martin Space Operat, Houston, TX 77058 USA; Texas A&M Univ, Dept Civil Engn, College Stn, TX 77843 USA							CARLSON JD, 1996, P 3 INT C MOT VIBR C, V3, P35; Chung LL, 1998, ENG STRUCT, V20, P62, DOI 10.1016/S0141-0296(97)00060-6; Dyke S J, 1996, P 3 INT C MOT VIBR C, V3, P291; Dyke SJ, 1996, J ENG MECH-ASCE, V122, P907, DOI 10.1061/(ASCE)0733-9399(1996)122:9(907); HANSEN BC, 1994, P 1 WORLD C MOT VIBR, V2, P81; JANG JSR, 1993, IEEE T SYST MAN CYB, V23, P665, DOI 10.1109/21.256541; JANG RJS, 1996, P IEEE INT C FUZZ SY, P1493; JANG RJS, 1997, NEUROFUZZY SOFT COMP; JANSEN LM, 1999, P 1999 AM CONTR C BA; Kurata N, 1999, EARTHQ ENG STRUCT D, V28, P1427, DOI 10.1002/(SICI)1096-9845(199911)28:11<1427::AID-EQE876>3.0.CO;2-#; MAMDANI EH, 1975, INT J MAN MACH STUD, V7, P1, DOI 10.1016/S0020-7373(75)80002-2; *MATHW INC, 1999, MATLAB VERS 5 3; OHTORI Y, 1999, BENCHMARK CONTROL PR; PATTERN WN, 1997, FHWAOK9708 US DEP TR; SCHURTER KC, 2000, [No title captured], P122; SCHURTER KC, 2000, THESIS TEXAS A M U C; Shames I, 1992, ELASTIC INELASTIC ST; Soong T, 1990, ACTIVE STRUCTURAL CO; Spencer BF, 1997, J ENG MECH-ASCE, V123, P230, DOI 10.1061/(ASCE)0733-9399(1997)123:3(230); STANOVICH KE, 1987, J LEARN DISABIL, V20, P167; Stanway R., 1985, IFAC IDENTIFICATION, V7, P195; SUBRAMANIAN RS, 1994, THESIS STATE U NEW Y; Symans MD, 1999, EARTHQUAKE ENG STRUC, V28, P37, DOI 10.1002/(SICI)1096-9845(199901)28:1<37::AID-EQE803>3.0.CO;2-Z; Takagi T., 1983, P IFAC S FUZZ INF KN, V1, P55; Yen J, 1999, FUZZY LOGIC INTELLIG; Zhang J, 1999, J WIND ENG IND AEROD, V83, P209, DOI 10.1016/S0167-6105(99)00073-2	26	43	43	0	8	IOP PUBLISHING LTD	BRISTOL	DIRAC HOUSE, TEMPLE BACK, BRISTOL BS1 6BE, ENGLAND	0964-1726			SMART MATER STRUCT	Smart Mater. Struct.	AUG	2001	10	4					770	779		10.1088/0964-1726/10/4/322			10	Instruments & Instrumentation; Materials Science, Multidisciplinary	Instruments & Instrumentation; Materials Science	473ZJ	WOS:000171079400022					2020-01-29	
J	Murakami, S; Kato, S; Kim, T				Murakami, S; Kato, S; Kim, T			Indoor climate design based on CFD - Coupled simulation of convection, radiation, and HVAC control for attaining a given PMV value	BUILDING AND ENVIRONMENT			English	Article; Proceedings Paper	Building Simulation 99 Conference	1999	KYOTO, JAPAN			CFD; HVAC control; coupled simulation; PMV	FLOW	A new computational fluid dynamics (CFD) simulation for designing indoor climates is presented in this study. It is coupled with a radiative heat transfer simulation and heating, ventilating, and air-conditioning (HVAC) control system in a room. This new method can feed back the outputs of the CFD to the input conditions for controlling the HVAC system, and includes a human model to evaluate the thermal environment. It can be used to analyze the conditions of the HVAC system (e.g. temperature of supply air, surface temperature of radiation panel, etc.) and the heating/cooling loads of different HVAC systems under the condition of the same human thermal sensation (e.g. PMV, operative temperature, etc.) To examine the performance of the new method, a thermal environment within a semi-enclosed space which opens into an atrium space is analyzed under the steady-state conditions during the summer season. Using this method, the most energy efficient HVAC system can be chosen under the same PMV value. In this paper, two types of HVAC system are compared: one is a radiation-panel system and the other is an all-air cooling system. The radiation-panel system is found to be more energy efficient for cooling the semi-enclosed space in this study. (C) 2001 Elsevier Science Ltd. All rights reserved.	Univ Tokyo, Inst Ind Sci, Meguro Ku, Tokyo 153, Japan	Kato, S (reprint author), Univ Tokyo, Inst Ind Sci, Meguro Ku, 4-6-1 Komaba, Tokyo 153, Japan.		Kim, Taeyeon/G-7753-2012; Kato, Shinsuke/J-9742-2014	Kato, Shinsuke/0000-0002-7227-9421			[Anonymous], 1993, ASHRAE HDB FUND; Fanger PO, 1970, THERMAL COMFORT; GEBHART B, 1959, ASHRAE T, V65, P321; JIANG Z, 1992, ASHRAE TRAN, V98, P33; Kato S, 1995, ASHRAE TRAN, V101, P1144; KATO S, 1998, APPL CFD ANAL INDO 7; KIM T, 1997, STUDY INDOOR THERM 6; Launder B. E., 1974, Computer Methods in Applied Mechanics and Engineering, V3, P269, DOI 10.1016/0045-7825(74)90029-2; MURAKAMI S, 1991, ASHRAE TRAN, V97, P38; MURAKAMI S, 1999, 6 INT IBPSA C BUILD; MURAKAMI S, 1998, 6 INT C AIR DISTR RO; Omori T, 1997, ASHRAE TRAN, V103, P164; OMORI T, 1990, INT J NUMER METH ENG, V30, P615, DOI 10.1002/nme.1620300405	13	17	18	0	8	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0360-1323			BUILD ENVIRON	Build. Environ.	JUL	2001	36	6					701	709		10.1016/S0360-1323(00)00069-X			9	Construction & Building Technology; Engineering, Environmental; Engineering, Civil	Construction & Building Technology; Engineering	442PE	WOS:000169293500005					2020-01-29	
J	Guillemin, A; Morel, N				Guillemin, A; Morel, N			An innovative lighting controller integrated in a self-adaptive building control system	ENERGY AND BUILDINGS			English	Article; Proceedings Paper	International Conference on Solar Energy in Buildings (CISBST99)	SEP 22-23, 1999	LAUSANNE, SWITZERLAND			lighting control; adaptive control; monitoring; genetic algorithms; fuzzy logic; energy; commercial buildings		An innovative and self-adaptive integrated system for building energy and comfort management has been developed. Both artificial and natural lighting controllers have been designed in order to fit the integrated approach. The shading device controller is split into two parts depending on the user presence. When the user is present, priority is given to visual comfort, and when he is absent, priority is given to thermal aspects (heating/cooling energy saving). The artificial Lighting controller is used to complete the illuminance in the room up to the level desired by the user, which is learned by the system through the user wishes. Many simulations have allowed comparing different variants of the lighting controllers. The models used in the control system are regularly adapted to the measurements. Therefore, the system continuously adapts itself to the environment and the room characteristics. Four months of experiments in the occupied LESO-PB office building have demonstrated that this integrated system leads to interesting energy saving (25% less of total energy consumption) compared to a conventional one. (C) 2001 Elsevier Science B.V. All rights reserved.	Ecole Polytech Fed Lausanne, Lab Energie Solaire & Phys Batiment, CH-1015 Lausanne, Switzerland	Guillemin, A (reprint author), Ecole Polytech Fed Lausanne, Lab Energie Solaire & Phys Batiment, CH-1015 Lausanne, Switzerland.						Bauer M., 1996, DELTA BLIND CONTROLL; *BEW, 1996, MET TEST MET 95 V2 0; CHEN S, 1991, IEEE T NEURAL NETWOR, V2, P302, DOI 10.1109/72.80341; FRAISSE G, 1997, ENERGY BUILD, P26; GUILLEMIN A, 1999, 23 EDIFICIO LESOPB E; HERRERA F, 1995, INT J APPROX REASON, V12, P299, DOI 10.1016/0888-613X(94)00033-Y; KRAUSS J, 1998, NEUROBAT NEUROFUZZY; Leigh JP, 1997, ARCH INTERN MED, V157, P1557, DOI 10.1001/archinte.157.14.1557; MOLTENI S, 1999, 12 SMARTWINDOW LESOP; PARGRFRIEDER J, 1999, COMMUNICATION; TORCELLINI P, 1992, INTELLIGENT CONTROL, V45	11	88	89	2	20	ELSEVIER SCIENCE SA	LAUSANNE	PO BOX 564, 1001 LAUSANNE, SWITZERLAND	0378-7788			ENERG BUILDINGS	Energy Build.	MAY	2001	33	5					477	487		10.1016/S0378-7788(00)00100-6			11	Construction & Building Technology; Energy & Fuels; Engineering, Civil	Construction & Building Technology; Energy & Fuels; Engineering	420JZ	WOS:000168003000007					2020-01-29	
S	Hagras, H; Callaghan, V; Colley, M; Clarke, G		John, R; Birkenhead, R		Hagras, H; Callaghan, V; Colley, M; Clarke, G			A hierarchical fuzzy genetic multi-agent architecture for intelligent buildings sensing and control	DEVELOPMENTS IN SOFT COMPUTING	ADVANCES IN SOFT COMPUTING		English	Proceedings Paper	International Conference on Recent Advances in Soft Computing 2000	2000	DE MONTFORT UNIV, LEICESTER, ENGLAND		DE MONTFORT UNIV			In this paper, we describe a new application domain for intelligent autonomous systems - Intelligent Buildings (IB). In doing so we present a novel approach to the implementation of IB based on a hierarchical fuzzy genetic mufti embedded-agent architecture comprising a low-level behaviour based reactive layer whose outputs are co-ordinated in a fuzzy way according to deliberative plans. The fuzzy rules related to resident's comfort are learnt online in a short time interval using our patented Fuzzy-Genetic techniques (British Patent 99-10539.7) from the resident's actual behaviour in a learning phase. Our approach utilises an intelligent agent approach to autonomously governing the building environment. We discuss the role of learning in building control systems, and contrast this approach with existing IB solutions. We explain the importance of acquiring information from sensors, rather than relying on pre programmed models, to determine user needs. We describe how our architecture, consisting of distributed embedded agents, utilises sensory information to learn to perform tasks related to user comfort, energy conservation, and safety. We show how these agents, employing a behaviour-based approach derived from robotics research, are able to continuously learn and adapt to individuals within a building, whilst always providing a fast, safe response to any situation. Such a system could be used to provide support for older people, or people with disabilities, allowing them greater independence and quality of life.	Univ Hull, Dept Comp Sci, Kingston Upon Hull HU6 7RX, N Humberside, England	Hagras, H (reprint author), Univ Hull, Dept Comp Sci, Kingston Upon Hull HU6 7RX, N Humberside, England.		Callaghan, Victor/X-9302-2018	Callaghan, Victor/0000-0003-3353-9726			Brooks R. A., 1997, P 2 INT COGN TECHN C; BROOKS RA, 1991, ARTIF INTELL, V47, P139, DOI 10.1016/0004-3702(91)90053-M; CALLAGHAN V, 2000, J STUDIES FUZZIN JUL; COEN MH, 1997, P 9 INN APPL AI C AA; DAVISSON P, 1998, DA DSM EUR DISTR TEC; HAGRAS H, 1999, 1999 IEEE INT C FUZZ, P668; HAGRAS H, 1999, 1999 IEEE INT C ROB, P1005; MOZER MC, 1998, [No title captured], P110; SAFFIOTTI A, 1997, P 6 IEEE INT C FUZZ, V1, P573; SHARPLES S, 1999, INT SENSOR REV J MAY; STEELS L, 1995, ROBOT AUTON SYST, V15, P3, DOI 10.1016/0921-8890(95)00011-4	11	0	0	0	5	PHYSICA-VERLAG GMBH & CO	HEIDELBERG	TIERGARTENSTR 17, D-69121 HEIDELBERG, GERMANY	1615-3871		3-7908-1361-3	ADV SOFT COMP			2001							199	206					8	Computer Science, Artificial Intelligence	Computer Science	BS52V	WOS:000170231800024					2020-01-29	
S	Schurter, KC; Roschke, PN			AACC; AACC; AACC	Schurter, KC; Roschke, PN			Neuro-fuzzy control of structures using magnetorheological dampers	PROCEEDINGS OF THE 2001 AMERICAN CONTROL CONFERENCE, VOLS 1-6	PROCEEDINGS OF THE AMERICAN CONTROL CONFERENCE		English	Proceedings Paper	American Control Conference (ACC)	JUN 25-27, 2001	ARLINGTON, VA	Amer Automat Control Council, IFAC			ACCELERATION FEEDBACK-CONTROL; SYSTEM	This paper describes a new approach for reduction of environmentally induced vibration in constructed facilities by way of a neuro-fuzzy technique. The new control technique is presented and tested in a numerical study that involves two types of building models. Energy of each building is dissipated through magnetorheological (MR) dampers whose damping properties are continuously updated by a fuzzy controller. This semi-active control scheme relies on development of a correlation between accelerations of the building (controller input) and voltage applied to the MR damper (controller output). This correlation forms the basis for development of an intelligent neuro-fuzzy control strategy. To establish a context for assessing effectiveness of the semi-active control scheme, responses to earthquake excitation are compared with passive strategies that possess similar authority for control. According to numerical simulation, MR dampers are less effective control mechanisms than passive dampers with respect to a single degree of freedom (DOF) building model. On the other hand, MR dampers are predicted to be superior when used with multiple DOF structures for reduction of lateral acceleration.	Texas A&M Univ, Dept Civil Engn, College Stn, TX 77843 USA	Schurter, KC (reprint author), Texas A&M Univ, Dept Civil Engn, College Stn, TX 77843 USA.						Chung LL, 1998, ENG STRUCT, V20, P62, DOI 10.1016/S0141-0296(97)00060-6; Dyke SJ, 1996, J ENG MECH-ASCE, V122, P907, DOI 10.1061/(ASCE)0733-9399(1996)122:9(907); JANG JSR, 1993, IEEE T SYST MAN CYB, V23, P665, DOI 10.1109/21.256541; JANG R, 1997, NEURO FUZZY SOFT COM; Jansen LM, 2000, J ENG MECH, V126, P795, DOI 10.1061/(ASCE)0733-9399(2000)126:8(795); Kurata N, 1999, EARTHQ ENG STRUCT D, V28, P1427, DOI 10.1002/(SICI)1096-9845(199911)28:11<1427::AID-EQE876>3.0.CO;2-#; MAMDANI EH, 1975, INT J MAN MACH STUD, V7, P1, DOI 10.1016/S0020-7373(75)80002-2; OHTORI Y, 1999, BENCHMARK CONTROL PR; PATTEN WN, 1997, FHWAOK9708 US DEP TR; SCHURTER KC, 2000, [No title captured], P122; SCHURTER KC, 2000, THESIS TEXAS A M U C; Shames I, 1992, ELASTIC INELASTIC ST; Soong T, 1990, ACTIVE STRUCTURAL CO; Spencer W. F., 1991, Pesticide Research Journal, V3, P1; STANOVICH KE, 1987, J LEARN DISABIL, V20, P167; Symans MD, 1999, EARTHQUAKE ENG STRUC, V28, P37, DOI 10.1002/(SICI)1096-9845(199901)28:1<37::AID-EQE803>3.0.CO;2-Z; Takagi T., 1983, P IFAC S FUZZ INF KN, V1, P55	17	31	33	2	4	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	0743-1619		0-7803-6495-3	P AMER CONTR CONF			2001							1097	1102					6	Automation & Control Systems; Engineering, Electrical & Electronic; Robotics	Automation & Control Systems; Engineering; Robotics	BT65Z	WOS:000173663300190					2020-01-29	
B	Ye, GD; Yang, CZ			CUHK; CUHK; CUHK	Ye, GD; Yang, CZ			The research of new standard effective temperature sensor	PROCEEDINGS OF THE 4TH INTERNATIONAL CONFERENCE ON INDOOR AIR QUALITY, VENTILATION AND ENERGY CONSERVATION IN BUILDINGS, VOLS I-III			English	Proceedings Paper	4th International Conference on Indoor Air Quality, Ventilation and Energy Conservation in Buildings (IAQVEC 2001)	OCT 02-05, 2001	CHANGSHA, PEOPLES R CHINA	City Univ Hong Kong, Minist Educ, K C Wong Educ Fdn, Broad Air Conditioning Co Ltd, Int Energy Agcy, WHO, Int Council Building Res Stud & Documentat, Amer Soc Heating, Refrigerating & Air-Conditioning Engineers, Int Soc Indoor Air Quality & Climate, Air Infiltrat & Ventilat Ctr, Amer Ind Hygiene Assoc, Chartered Inst Building Serv Engineers, China Assoc Refrigerat, Comm Heating, Ventilat & Air Conditioning, Chinese Architecture Assoc, Hong Kong Inst Engineers, Natl Resource Canada, Building Grp, CANMET Energy Technol Ctr, Hunan Univ				Comfort index control (Cl control) is the tendency of the development of HVAC control systems, however the measurement of "comfort" is the key to the success of Cl control. Seven major variables determine how warm a person feels: his activity level(M), his clothing insulation(icl), his mechanical efficiency(eta) and the four environmental variables of air speed (v) and temperature (t(a)), humidity (P-a) and mean radiant temperature (t(r)). Equivalent temperature is a thermal comfort index that combines the thermal effects of air temperature, mean radiant temperature and air velocity on people. Thus the two indexes equivalent temperature and air humidity include information of the all four environmental variables. In this paper a new structure of comfort sensor, which aims at measuring predicted mean vote (PMV) and new standard effective temperature (SET*), is proposed. And a kind of "transform" method is used in the realization of SET* sensor of this sort, theory derivation has proven the reasonability of this method. A simple SET* sensor is developed, and a 90(similar tomm) diameter globe made from copper is utilized instead of a equivalent temperature sensor in the SET* sensor. Simulation results shows that the SET* sensor can be used as a comfort sensor under typical indoor climates.	Hunan Univ, Coll Civil Engn, Changsha 410082, Hunan, Peoples R China	Ye, GD (reprint author), Hunan Univ, Coll Civil Engn, Changsha 410082, Hunan, Peoples R China.						ASHRAE, 1997, ASHRAE HDB FUND; ASHRAE, 1985, ASHRAE HDB FUND; Gagge A., 1971, ASHRAE T, V77, P247; Gagge AP, 1986, ASHRAE T, V92, P709, DOI DOI 10.1016/J.APENERGY.2011.01.019; Kristensen N., 1984, ASHRAE T, V90, P1077; MCINTYRE DA, 1980, INDOOR CLIMATE; SCHEATZLE DG, 1991, ASHRAE TRAN, V97, P1002	7	0	0	0	0	CITY UNIVERSITY HONG KONG	KOWLOON	TAT CHEE AV, KOWLOON, HONG KONG, PEOPLES R CHINA			962-442-190-0				2001							1681	1688					8	Construction & Building Technology; Engineering, Environmental	Construction & Building Technology; Engineering	BV29H	WOS:000178473300212					2020-01-29	
J	Ge, SS; Lee, TH; Gu, DL; Woon, LC				Ge, SS; Lee, TH; Gu, DL; Woon, LC			A one-stop solution in robotic control system design	IEEE ROBOTICS & AUTOMATION MAGAZINE			English	Article						robotics; robot control; computer simulation; computer-aided control system design		OpenRob: An Open-Architecture Platform for Model Building, Controller Design, and Numerical Simulation.	Natl Univ Singapore, Dept Elect Comp Engn, Singapore 119260, Singapore; Natl Univ Singapore, Dept Elect Engn, Control Div, Singapore 119260, Singapore	Ge, SS (reprint author), Natl Univ Singapore, Dept Elect Comp Engn, Singapore 119260, Singapore.		Pires, J. Norberto/Y-6351-2018	Pires, J. Norberto/0000-0002-2504-0645; Ge, Shuzhi Sam/0000-0001-5549-312X			Craig J. J., 1989, INTRO ROBOTICS MECH; Denavit J, 1955, T ASME, V22, P215; Fu K. S., 1987, ROBOTICS CONTROL SEN; Ge S. S., 1998, ADAPTIVE NEURAL NETW; GE SS, 1998, P INT C CONTR AUT RO, V1, P524; HIMMELBIAN DM, 1972, APPL NONLINEAR PROGR; Lewis F., 1993, CONTROL ROBOT MANIPU; LIN CS, 1983, IEEE T AUTOMAT CONTR, V28, P1066, DOI 10.1109/TAC.1983.1103181; NETHERY J, 1995, MATH J, V5, P72; Nethery J. F., 1994, IEEE Robotics & Automation Magazine, V1, P13, DOI 10.1109/100.296449; Paul RP, 1981, ROBOT MANIPULATOR MA; *ROB SIM LTD, 1997, WORKSP 4 ED US GUID; Slotine JE, 1991, APPL NONLINEAR CONTR; Spong M., 1989, ROBOT DYNAMICS CONTR	14	4	4	0	0	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017-2394 USA	1070-9932			IEEE ROBOT AUTOM MAG	IEEE Robot. Autom. Mag.	SEP	2000	7	3					42	54		10.1109/100.876910			13	Automation & Control Systems; Robotics	Automation & Control Systems; Robotics	363EG	WOS:000089821700006					2020-01-29	
J	Mathews, EH; Arndt, DC; Piani, CB; van Heerden, E				Mathews, EH; Arndt, DC; Piani, CB; van Heerden, E			Developing cost efficient control strategies to ensure optimal energy use and sufficient indoor comfort	APPLIED ENERGY			English	Article							HVAC	Good HVAC control is often the most cost-effective option to improve the energy efficiency of a building. However the effect of changing the control strategy (i.e. effect on indoor comfort and energy consumption) is usually the most difficult to predict. To achieve this more easily, a new simulation tool, QUICKcontrol, was developed. In this paper, the new tool is used to investigate the energy savings potential in the Engineering Tower Building (ETB) of the University of Pretoria. The influence of reset control, economizer cycle combined with CO2 control on the outside air ventilation rate and better system start-stop times were investigated. The simulation models were firstly verified with actual measurements obtained from the existing system to confirm their accuracy for realistic control retrofit simulations. With the aid of the integrated simulation tool it was possible to predict savings of 491 MWh per year (34% building energy saving) by implementing these control strategies. These control strategies can be implemented in the building with a direct payback period of less than 9 months. (C) 2000 Elsevier Science Ltd. All rights reserved.	Univ Pretoria, Dept Mech Engn, ZA-0002 Pretoria, South Africa	Arndt, DC (reprint author), Univ Pretoria, Dept Mech Engn, ZA-0002 Pretoria, South Africa.		Liu, Xuesong/E-9177-2010				BEVINGTON R, 1990, SCI AM           SEP, P207; HIRSCH JJ, 1995, BUILDING SIMULATION; HUMPHREYS MA, 1995, STANDARDS THERMAL ST; LEBRUN J, 1994, RENEW ENERG, V5, P1151, DOI 10.1016/0960-1481(94)90144-9; MATHEWS EH, 1996, REFRIGERATION AIR CO, V12, P59; McQuiston F. C., 1994, HEATING VENTILATION; ROUSSEAU PG, 1993, BUILD ENVIRON, V28, P439, DOI 10.1016/0360-1323(93)90021-T; STERLING E, 1994, P ASHRAE T S, P867; *TEMM INT PTY LTD, 1997, EN SAV POT GUID EFF; VANHEERDEN E, 1997, THESIS U PRETORIA PR; VANHEERDEN E, 1996, P 1996 PLEA BUILD UR; WOODS JE, 1989, OCCUPATIONAL MED STA, V4; 1996, 621989R ASHRAE	13	53	53	0	5	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0306-2619			APPL ENERG	Appl. Energy	JUN	2000	66	2					135	159		10.1016/S0306-2619(99)00035-5			25	Energy & Fuels; Engineering, Chemical	Energy & Fuels; Engineering	291CH	WOS:000085715700004					2020-01-29	
B	Caprari, G; Arras, KO; Siegwart, R			IEEE; IEEE	Caprari, G; Arras, KO; Siegwart, R			The autonomous miniature robot alice: From prototypes to applications.	2000 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS (IROS 2000), VOLS 1-3, PROCEEDINGS			English	Proceedings Paper	IEEE/Robotics-Society-of-Japan International Conference on Intelligent Robots and Systems (IROS 2000)	OCT 31-NOV 05, 2000	KAGAWA UNIV, TAKAMATSU, JAPAN	IEEE, Ind Electr Soc, IEEE, Robot & Automat Soc, Robot Soc Japan, Soc Instrument & Control Engineers, New Technol Fdn, Kagawa Univ	KAGAWA UNIV			For any commercial product, design cycles from the idea, to concept, prototype and test are iterative processes. This is especially true for high technology products. In the last years we acquired experience in designing and re-designing the small mobile robot Alice. In the first part of this paper we present an overview of the prototype family of Alice and the improvements achieved so far. Applications are often the final objective but also an incentive to correct and enhance the robot abilities. In the second part, research carried out with Alice and various real-world applications, which exceed the robot's use as a research prototype, will be presented. They include local and global localization, map building, control strategies for semi-autonomous operation via Internet and Matlab, its use for robot soccer tournaments and as a research platform for studies of collective behaviors, and finally, ludic applications.	Swiss Fed Inst Technol, EPFL, Inst Robot Syst, DMT,ISR, CH-1015 Lausanne, Switzerland	Caprari, G (reprint author), Swiss Fed Inst Technol, EPFL, Inst Robot Syst, DMT,ISR, CH-1015 Lausanne, Switzerland.		Siegwart, Roland/A-4495-2008	Siegwart, Roland/0000-0002-2760-7983			Bonabeau E, 1999, SWARM INTELLIGENCE N; BUCHI R, 1996, INT S MICR MACH HUM, P203; BUCHI R, 1995, SPIE PHOTONICS EAST, P50; CAPRARI G, 1998, INT S MICR HUM SCI, P231; KUIPERS BJ, 1988, P SPIE SENS FUS SPAT, V1003; SIEGWART R, 1998, P IEEE RSJ INT C INT; WILCOX B, 1996, AIAA ROB TECHN FOR M	7	9	9	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			0-7803-6349-3				2000							793	798					6	Engineering, Industrial; Engineering, Electrical & Electronic; Instruments & Instrumentation; Robotics	Engineering; Instruments & Instrumentation; Robotics	BR61C	WOS:000166948600128					2020-01-29	
B	Hayes, ND		Sioros, D		Hayes, ND			Pressing new technology into a 100 year-old electrical infrastructure - Application challenges are obvious, educational challenges are daunting	BUILDING FOR THE 21ST CENTURY: ENERGY & THE ENVIRONMENT			English	Proceedings Paper	22nd World Energy Engineering Congress	OCT 20-22, 1999	ATLANTA, GA	Geothermal Heat Pump Consortium, Int Ground Source Heat Pump Assoc, Alliance Save Energy, Natl Assoc State Energy Officials, US Dept Commerce, US DOE, Fed Energy Management Programs, US Gen Serv Adm,, US EPA Reg IV Headquarters, Natl Fire Protect Assoc, Natl Roofing Contractors Assoc, Power Mkt Assoc, Amer Soc Ind Secur, Natl Assoc Energy Serv Co				According to a mid-1990's EPRI study, approximately 70% of the power utilized in the United States will be non-linear. Also, it would be safe to estimate that 50% of all electrical devices now contain some form of digital control or computer. Non-linear devices like switching power supplies, uninterruptible power supplies (U.P.S.'s), adjustable speed drives, and solid state ballasts are power conversion devices that utilize power electronic switches to convert supplied AC voltage to DC land often return it to a controlled AC) for specialized use. Computer controlled electrical equipment like smart switches, lighting, appliances and building control systems and their respective communication and interface networks are connected to the same electrical supply. Such products are relatively new, when compared to the age of the electrical distribution infrastructure that supplies them and the generation and traditional practices that support it. For example, the adjustable speed AC drive for use with AC motors became commercially viable and reliable approximately 15 years ago. Since then, more than 1 million drives have been installed in the United States, however, only 9% of electric motors yet are controlled by a drive(1), which points towards continued increases in the use of drives. Conversely, electric motors, which are linear devices, have been in existence and operating for 100 years, though they are fundamentally unchanged in their method of operation.	5 12 Grp Ltd, Shorewood, WI 53211 USA	Hayes, ND (reprint author), 5 12 Grp Ltd, 4141 N Maryland Ave, Shorewood, WI 53211 USA.						BOYDWALKER, 1990, MARKETING MANAGEMENT; Brandenburger A. M., 1996, COOPETITION; BREKKE J, 1999, THESIS; *OFF EN EFF REN EN, 1998, US IND MOT SYST MARK; *US BUR LAB STAT, 1998, OCC OUTL HDB	5	0	0	0	0	FAIRMONT PRESS INC	LILBURN	700 INDIAN TRAIL, LILBURN, GA 30047 USA			0-88173-338-5				2000							463	468					6	Construction & Building Technology; Energy & Fuels; Engineering, Electrical & Electronic; Environmental Sciences	Construction & Building Technology; Energy & Fuels; Engineering; Environmental Sciences & Ecology	BS02W	WOS:000168377200068					2020-01-29	
